Notes,Year,Year Code,Age Groups,Age Groups Code,Sex,Sex Code,Count,Population,Crude Rate,Month,Annual_Count,Date
,1999,1999.0,30-34 years,30-34,Female,F,1.75,10131068,0.2,1,21,1999-01-01
,1999,1999.0,30-34 years,30-34,Male,M,2.5,10240023,0.3,1,30,1999-01-01
,1999,1999.0,35-39 years,35-39,Female,F,4.75,11335710,0.5,1,57,1999-01-01
,1999,1999.0,35-39 years,35-39,Male,M,8.416666666666666,11275914,0.9,1,101,1999-01-01
,1999,1999.0,40-44 years,40-44,Female,F,11.083333333333334,11057798,1.2,1,133,1999-01-01
,1999,1999.0,40-44 years,40-44,Male,M,17.416666666666668,10866874,1.9,1,209,1999-01-01
,1999,1999.0,45-49 years,45-49,Female,F,24.75,9864954,3.0,1,297,1999-01-01
,1999,1999.0,45-49 years,45-49,Male,M,28.75,9548921,3.6,1,345,1999-01-01
,1999,1999.0,50-54 years,50-54,Female,F,35.416666666666664,8540542,5.0,1,425,1999-01-01
,1999,1999.0,50-54 years,50-54,Male,M,43.833333333333336,8178348,6.4,1,526,1999-01-01
,1999,1999.0,55-59 years,55-59,Female,F,47.166666666666664,6680872,8.5,1,566,1999-01-01
,1999,1999.0,55-59 years,55-59,Male,M,59.583333333333336,6241758,11.5,1,715,1999-01-01
,1999,1999.0,60-64 years ,60-64,Female,F,57.916666666666664,5538848,12.5,1,695,1999-01-01
,1999,1999.0,60-64 years ,60-64,Male,M,74.58333333333333,5012696,17.9,1,895,1999-01-01
,1999,1999.0,65-69 years,65-69,Female,F,77.25,5073442,18.3,1,927,1999-01-01
,1999,1999.0,65-69 years,65-69,Male,M,92.0,4342941,25.4,1,1104,1999-01-01
,1999,1999.0,70-74 years,70-74,Female,F,94.16666666666667,4918966,23.0,1,1130,1999-01-01
,1999,1999.0,70-74 years,70-74,Male,M,109.58333333333333,3844898,34.2,1,1315,1999-01-01
,1999,1999.0,75-79 years,75-79,Female,F,99.25,4276338,27.9,1,1191,1999-01-01
,1999,1999.0,75-79 years,75-79,Male,M,101.0,2974973,40.7,1,1212,1999-01-01
,1999,1999.0,80-84 years,80-84,Female,F,79.66666666666667,3039863,31.4,1,956,1999-01-01
,1999,1999.0,80-84 years,80-84,Male,M,71.0,1780402,47.9,1,852,1999-01-01
,1999,1999.0,85+ years,85+,Female,F,64.75,2918829,26.6,1,777,1999-01-01
,1999,1999.0,85+ years,85+,Male,M,43.25,1177073,44.1,1,519,1999-01-01
,1999,1999.0,30-34 years,30-34,Female,F,1.75,10131068,0.2,2,21,1999-02-01
,1999,1999.0,30-34 years,30-34,Male,M,2.5,10240023,0.3,2,30,1999-02-01
,1999,1999.0,35-39 years,35-39,Female,F,4.75,11335710,0.5,2,57,1999-02-01
,1999,1999.0,35-39 years,35-39,Male,M,8.416666666666666,11275914,0.9,2,101,1999-02-01
,1999,1999.0,40-44 years,40-44,Female,F,11.083333333333334,11057798,1.2,2,133,1999-02-01
,1999,1999.0,40-44 years,40-44,Male,M,17.416666666666668,10866874,1.9,2,209,1999-02-01
,1999,1999.0,45-49 years,45-49,Female,F,24.75,9864954,3.0,2,297,1999-02-01
,1999,1999.0,45-49 years,45-49,Male,M,28.75,9548921,3.6,2,345,1999-02-01
,1999,1999.0,50-54 years,50-54,Female,F,35.416666666666664,8540542,5.0,2,425,1999-02-01
,1999,1999.0,50-54 years,50-54,Male,M,43.833333333333336,8178348,6.4,2,526,1999-02-01
,1999,1999.0,55-59 years,55-59,Female,F,47.166666666666664,6680872,8.5,2,566,1999-02-01
,1999,1999.0,55-59 years,55-59,Male,M,59.583333333333336,6241758,11.5,2,715,1999-02-01
,1999,1999.0,60-64 years ,60-64,Female,F,57.916666666666664,5538848,12.5,2,695,1999-02-01
,1999,1999.0,60-64 years ,60-64,Male,M,74.58333333333333,5012696,17.9,2,895,1999-02-01
,1999,1999.0,65-69 years,65-69,Female,F,77.25,5073442,18.3,2,927,1999-02-01
,1999,1999.0,65-69 years,65-69,Male,M,92.0,4342941,25.4,2,1104,1999-02-01
,1999,1999.0,70-74 years,70-74,Female,F,94.16666666666667,4918966,23.0,2,1130,1999-02-01
,1999,1999.0,70-74 years,70-74,Male,M,109.58333333333333,3844898,34.2,2,1315,1999-02-01
,1999,1999.0,75-79 years,75-79,Female,F,99.25,4276338,27.9,2,1191,1999-02-01
,1999,1999.0,75-79 years,75-79,Male,M,101.0,2974973,40.7,2,1212,1999-02-01
,1999,1999.0,80-84 years,80-84,Female,F,79.66666666666667,3039863,31.4,2,956,1999-02-01
,1999,1999.0,80-84 years,80-84,Male,M,71.0,1780402,47.9,2,852,1999-02-01
,1999,1999.0,85+ years,85+,Female,F,64.75,2918829,26.6,2,777,1999-02-01
,1999,1999.0,85+ years,85+,Male,M,43.25,1177073,44.1,2,519,1999-02-01
,1999,1999.0,30-34 years,30-34,Female,F,1.75,10131068,0.2,3,21,1999-03-01
,1999,1999.0,30-34 years,30-34,Male,M,2.5,10240023,0.3,3,30,1999-03-01
,1999,1999.0,35-39 years,35-39,Female,F,4.75,11335710,0.5,3,57,1999-03-01
,1999,1999.0,35-39 years,35-39,Male,M,8.416666666666666,11275914,0.9,3,101,1999-03-01
,1999,1999.0,40-44 years,40-44,Female,F,11.083333333333334,11057798,1.2,3,133,1999-03-01
,1999,1999.0,40-44 years,40-44,Male,M,17.416666666666668,10866874,1.9,3,209,1999-03-01
,1999,1999.0,45-49 years,45-49,Female,F,24.75,9864954,3.0,3,297,1999-03-01
,1999,1999.0,45-49 years,45-49,Male,M,28.75,9548921,3.6,3,345,1999-03-01
,1999,1999.0,50-54 years,50-54,Female,F,35.416666666666664,8540542,5.0,3,425,1999-03-01
,1999,1999.0,50-54 years,50-54,Male,M,43.833333333333336,8178348,6.4,3,526,1999-03-01
,1999,1999.0,55-59 years,55-59,Female,F,47.166666666666664,6680872,8.5,3,566,1999-03-01
,1999,1999.0,55-59 years,55-59,Male,M,59.583333333333336,6241758,11.5,3,715,1999-03-01
,1999,1999.0,60-64 years ,60-64,Female,F,57.916666666666664,5538848,12.5,3,695,1999-03-01
,1999,1999.0,60-64 years ,60-64,Male,M,74.58333333333333,5012696,17.9,3,895,1999-03-01
,1999,1999.0,65-69 years,65-69,Female,F,77.25,5073442,18.3,3,927,1999-03-01
,1999,1999.0,65-69 years,65-69,Male,M,92.0,4342941,25.4,3,1104,1999-03-01
,1999,1999.0,70-74 years,70-74,Female,F,94.16666666666667,4918966,23.0,3,1130,1999-03-01
,1999,1999.0,70-74 years,70-74,Male,M,109.58333333333333,3844898,34.2,3,1315,1999-03-01
,1999,1999.0,75-79 years,75-79,Female,F,99.25,4276338,27.9,3,1191,1999-03-01
,1999,1999.0,75-79 years,75-79,Male,M,101.0,2974973,40.7,3,1212,1999-03-01
,1999,1999.0,80-84 years,80-84,Female,F,79.66666666666667,3039863,31.4,3,956,1999-03-01
,1999,1999.0,80-84 years,80-84,Male,M,71.0,1780402,47.9,3,852,1999-03-01
,1999,1999.0,85+ years,85+,Female,F,64.75,2918829,26.6,3,777,1999-03-01
,1999,1999.0,85+ years,85+,Male,M,43.25,1177073,44.1,3,519,1999-03-01
,1999,1999.0,30-34 years,30-34,Female,F,1.75,10131068,0.2,4,21,1999-04-01
,1999,1999.0,30-34 years,30-34,Male,M,2.5,10240023,0.3,4,30,1999-04-01
,1999,1999.0,35-39 years,35-39,Female,F,4.75,11335710,0.5,4,57,1999-04-01
,1999,1999.0,35-39 years,35-39,Male,M,8.416666666666666,11275914,0.9,4,101,1999-04-01
,1999,1999.0,40-44 years,40-44,Female,F,11.083333333333334,11057798,1.2,4,133,1999-04-01
,1999,1999.0,40-44 years,40-44,Male,M,17.416666666666668,10866874,1.9,4,209,1999-04-01
,1999,1999.0,45-49 years,45-49,Female,F,24.75,9864954,3.0,4,297,1999-04-01
,1999,1999.0,45-49 years,45-49,Male,M,28.75,9548921,3.6,4,345,1999-04-01
,1999,1999.0,50-54 years,50-54,Female,F,35.416666666666664,8540542,5.0,4,425,1999-04-01
,1999,1999.0,50-54 years,50-54,Male,M,43.833333333333336,8178348,6.4,4,526,1999-04-01
,1999,1999.0,55-59 years,55-59,Female,F,47.166666666666664,6680872,8.5,4,566,1999-04-01
,1999,1999.0,55-59 years,55-59,Male,M,59.583333333333336,6241758,11.5,4,715,1999-04-01
,1999,1999.0,60-64 years ,60-64,Female,F,57.916666666666664,5538848,12.5,4,695,1999-04-01
,1999,1999.0,60-64 years ,60-64,Male,M,74.58333333333333,5012696,17.9,4,895,1999-04-01
,1999,1999.0,65-69 years,65-69,Female,F,77.25,5073442,18.3,4,927,1999-04-01
,1999,1999.0,65-69 years,65-69,Male,M,92.0,4342941,25.4,4,1104,1999-04-01
,1999,1999.0,70-74 years,70-74,Female,F,94.16666666666667,4918966,23.0,4,1130,1999-04-01
,1999,1999.0,70-74 years,70-74,Male,M,109.58333333333333,3844898,34.2,4,1315,1999-04-01
,1999,1999.0,75-79 years,75-79,Female,F,99.25,4276338,27.9,4,1191,1999-04-01
,1999,1999.0,75-79 years,75-79,Male,M,101.0,2974973,40.7,4,1212,1999-04-01
,1999,1999.0,80-84 years,80-84,Female,F,79.66666666666667,3039863,31.4,4,956,1999-04-01
,1999,1999.0,80-84 years,80-84,Male,M,71.0,1780402,47.9,4,852,1999-04-01
,1999,1999.0,85+ years,85+,Female,F,64.75,2918829,26.6,4,777,1999-04-01
,1999,1999.0,85+ years,85+,Male,M,43.25,1177073,44.1,4,519,1999-04-01
,1999,1999.0,30-34 years,30-34,Female,F,1.75,10131068,0.2,5,21,1999-05-01
,1999,1999.0,30-34 years,30-34,Male,M,2.5,10240023,0.3,5,30,1999-05-01
,1999,1999.0,35-39 years,35-39,Female,F,4.75,11335710,0.5,5,57,1999-05-01
,1999,1999.0,35-39 years,35-39,Male,M,8.416666666666666,11275914,0.9,5,101,1999-05-01
,1999,1999.0,40-44 years,40-44,Female,F,11.083333333333334,11057798,1.2,5,133,1999-05-01
,1999,1999.0,40-44 years,40-44,Male,M,17.416666666666668,10866874,1.9,5,209,1999-05-01
,1999,1999.0,45-49 years,45-49,Female,F,24.75,9864954,3.0,5,297,1999-05-01
,1999,1999.0,45-49 years,45-49,Male,M,28.75,9548921,3.6,5,345,1999-05-01
,1999,1999.0,50-54 years,50-54,Female,F,35.416666666666664,8540542,5.0,5,425,1999-05-01
,1999,1999.0,50-54 years,50-54,Male,M,43.833333333333336,8178348,6.4,5,526,1999-05-01
,1999,1999.0,55-59 years,55-59,Female,F,47.166666666666664,6680872,8.5,5,566,1999-05-01
,1999,1999.0,55-59 years,55-59,Male,M,59.583333333333336,6241758,11.5,5,715,1999-05-01
,1999,1999.0,60-64 years ,60-64,Female,F,57.916666666666664,5538848,12.5,5,695,1999-05-01
,1999,1999.0,60-64 years ,60-64,Male,M,74.58333333333333,5012696,17.9,5,895,1999-05-01
,1999,1999.0,65-69 years,65-69,Female,F,77.25,5073442,18.3,5,927,1999-05-01
,1999,1999.0,65-69 years,65-69,Male,M,92.0,4342941,25.4,5,1104,1999-05-01
,1999,1999.0,70-74 years,70-74,Female,F,94.16666666666667,4918966,23.0,5,1130,1999-05-01
,1999,1999.0,70-74 years,70-74,Male,M,109.58333333333333,3844898,34.2,5,1315,1999-05-01
,1999,1999.0,75-79 years,75-79,Female,F,99.25,4276338,27.9,5,1191,1999-05-01
,1999,1999.0,75-79 years,75-79,Male,M,101.0,2974973,40.7,5,1212,1999-05-01
,1999,1999.0,80-84 years,80-84,Female,F,79.66666666666667,3039863,31.4,5,956,1999-05-01
,1999,1999.0,80-84 years,80-84,Male,M,71.0,1780402,47.9,5,852,1999-05-01
,1999,1999.0,85+ years,85+,Female,F,64.75,2918829,26.6,5,777,1999-05-01
,1999,1999.0,85+ years,85+,Male,M,43.25,1177073,44.1,5,519,1999-05-01
,1999,1999.0,30-34 years,30-34,Female,F,1.75,10131068,0.2,6,21,1999-06-01
,1999,1999.0,30-34 years,30-34,Male,M,2.5,10240023,0.3,6,30,1999-06-01
,1999,1999.0,35-39 years,35-39,Female,F,4.75,11335710,0.5,6,57,1999-06-01
,1999,1999.0,35-39 years,35-39,Male,M,8.416666666666666,11275914,0.9,6,101,1999-06-01
,1999,1999.0,40-44 years,40-44,Female,F,11.083333333333334,11057798,1.2,6,133,1999-06-01
,1999,1999.0,40-44 years,40-44,Male,M,17.416666666666668,10866874,1.9,6,209,1999-06-01
,1999,1999.0,45-49 years,45-49,Female,F,24.75,9864954,3.0,6,297,1999-06-01
,1999,1999.0,45-49 years,45-49,Male,M,28.75,9548921,3.6,6,345,1999-06-01
,1999,1999.0,50-54 years,50-54,Female,F,35.416666666666664,8540542,5.0,6,425,1999-06-01
,1999,1999.0,50-54 years,50-54,Male,M,43.833333333333336,8178348,6.4,6,526,1999-06-01
,1999,1999.0,55-59 years,55-59,Female,F,47.166666666666664,6680872,8.5,6,566,1999-06-01
,1999,1999.0,55-59 years,55-59,Male,M,59.583333333333336,6241758,11.5,6,715,1999-06-01
,1999,1999.0,60-64 years ,60-64,Female,F,57.916666666666664,5538848,12.5,6,695,1999-06-01
,1999,1999.0,60-64 years ,60-64,Male,M,74.58333333333333,5012696,17.9,6,895,1999-06-01
,1999,1999.0,65-69 years,65-69,Female,F,77.25,5073442,18.3,6,927,1999-06-01
,1999,1999.0,65-69 years,65-69,Male,M,92.0,4342941,25.4,6,1104,1999-06-01
,1999,1999.0,70-74 years,70-74,Female,F,94.16666666666667,4918966,23.0,6,1130,1999-06-01
,1999,1999.0,70-74 years,70-74,Male,M,109.58333333333333,3844898,34.2,6,1315,1999-06-01
,1999,1999.0,75-79 years,75-79,Female,F,99.25,4276338,27.9,6,1191,1999-06-01
,1999,1999.0,75-79 years,75-79,Male,M,101.0,2974973,40.7,6,1212,1999-06-01
,1999,1999.0,80-84 years,80-84,Female,F,79.66666666666667,3039863,31.4,6,956,1999-06-01
,1999,1999.0,80-84 years,80-84,Male,M,71.0,1780402,47.9,6,852,1999-06-01
,1999,1999.0,85+ years,85+,Female,F,64.75,2918829,26.6,6,777,1999-06-01
,1999,1999.0,85+ years,85+,Male,M,43.25,1177073,44.1,6,519,1999-06-01
,1999,1999.0,30-34 years,30-34,Female,F,1.75,10131068,0.2,7,21,1999-07-01
,1999,1999.0,30-34 years,30-34,Male,M,2.5,10240023,0.3,7,30,1999-07-01
,1999,1999.0,35-39 years,35-39,Female,F,4.75,11335710,0.5,7,57,1999-07-01
,1999,1999.0,35-39 years,35-39,Male,M,8.416666666666666,11275914,0.9,7,101,1999-07-01
,1999,1999.0,40-44 years,40-44,Female,F,11.083333333333334,11057798,1.2,7,133,1999-07-01
,1999,1999.0,40-44 years,40-44,Male,M,17.416666666666668,10866874,1.9,7,209,1999-07-01
,1999,1999.0,45-49 years,45-49,Female,F,24.75,9864954,3.0,7,297,1999-07-01
,1999,1999.0,45-49 years,45-49,Male,M,28.75,9548921,3.6,7,345,1999-07-01
,1999,1999.0,50-54 years,50-54,Female,F,35.416666666666664,8540542,5.0,7,425,1999-07-01
,1999,1999.0,50-54 years,50-54,Male,M,43.833333333333336,8178348,6.4,7,526,1999-07-01
,1999,1999.0,55-59 years,55-59,Female,F,47.166666666666664,6680872,8.5,7,566,1999-07-01
,1999,1999.0,55-59 years,55-59,Male,M,59.583333333333336,6241758,11.5,7,715,1999-07-01
,1999,1999.0,60-64 years ,60-64,Female,F,57.916666666666664,5538848,12.5,7,695,1999-07-01
,1999,1999.0,60-64 years ,60-64,Male,M,74.58333333333333,5012696,17.9,7,895,1999-07-01
,1999,1999.0,65-69 years,65-69,Female,F,77.25,5073442,18.3,7,927,1999-07-01
,1999,1999.0,65-69 years,65-69,Male,M,92.0,4342941,25.4,7,1104,1999-07-01
,1999,1999.0,70-74 years,70-74,Female,F,94.16666666666667,4918966,23.0,7,1130,1999-07-01
,1999,1999.0,70-74 years,70-74,Male,M,109.58333333333333,3844898,34.2,7,1315,1999-07-01
,1999,1999.0,75-79 years,75-79,Female,F,99.25,4276338,27.9,7,1191,1999-07-01
,1999,1999.0,75-79 years,75-79,Male,M,101.0,2974973,40.7,7,1212,1999-07-01
,1999,1999.0,80-84 years,80-84,Female,F,79.66666666666667,3039863,31.4,7,956,1999-07-01
,1999,1999.0,80-84 years,80-84,Male,M,71.0,1780402,47.9,7,852,1999-07-01
,1999,1999.0,85+ years,85+,Female,F,64.75,2918829,26.6,7,777,1999-07-01
,1999,1999.0,85+ years,85+,Male,M,43.25,1177073,44.1,7,519,1999-07-01
,1999,1999.0,30-34 years,30-34,Female,F,1.75,10131068,0.2,8,21,1999-08-01
,1999,1999.0,30-34 years,30-34,Male,M,2.5,10240023,0.3,8,30,1999-08-01
,1999,1999.0,35-39 years,35-39,Female,F,4.75,11335710,0.5,8,57,1999-08-01
,1999,1999.0,35-39 years,35-39,Male,M,8.416666666666666,11275914,0.9,8,101,1999-08-01
,1999,1999.0,40-44 years,40-44,Female,F,11.083333333333334,11057798,1.2,8,133,1999-08-01
,1999,1999.0,40-44 years,40-44,Male,M,17.416666666666668,10866874,1.9,8,209,1999-08-01
,1999,1999.0,45-49 years,45-49,Female,F,24.75,9864954,3.0,8,297,1999-08-01
,1999,1999.0,45-49 years,45-49,Male,M,28.75,9548921,3.6,8,345,1999-08-01
,1999,1999.0,50-54 years,50-54,Female,F,35.416666666666664,8540542,5.0,8,425,1999-08-01
,1999,1999.0,50-54 years,50-54,Male,M,43.833333333333336,8178348,6.4,8,526,1999-08-01
,1999,1999.0,55-59 years,55-59,Female,F,47.166666666666664,6680872,8.5,8,566,1999-08-01
,1999,1999.0,55-59 years,55-59,Male,M,59.583333333333336,6241758,11.5,8,715,1999-08-01
,1999,1999.0,60-64 years ,60-64,Female,F,57.916666666666664,5538848,12.5,8,695,1999-08-01
,1999,1999.0,60-64 years ,60-64,Male,M,74.58333333333333,5012696,17.9,8,895,1999-08-01
,1999,1999.0,65-69 years,65-69,Female,F,77.25,5073442,18.3,8,927,1999-08-01
,1999,1999.0,65-69 years,65-69,Male,M,92.0,4342941,25.4,8,1104,1999-08-01
,1999,1999.0,70-74 years,70-74,Female,F,94.16666666666667,4918966,23.0,8,1130,1999-08-01
,1999,1999.0,70-74 years,70-74,Male,M,109.58333333333333,3844898,34.2,8,1315,1999-08-01
,1999,1999.0,75-79 years,75-79,Female,F,99.25,4276338,27.9,8,1191,1999-08-01
,1999,1999.0,75-79 years,75-79,Male,M,101.0,2974973,40.7,8,1212,1999-08-01
,1999,1999.0,80-84 years,80-84,Female,F,79.66666666666667,3039863,31.4,8,956,1999-08-01
,1999,1999.0,80-84 years,80-84,Male,M,71.0,1780402,47.9,8,852,1999-08-01
,1999,1999.0,85+ years,85+,Female,F,64.75,2918829,26.6,8,777,1999-08-01
,1999,1999.0,85+ years,85+,Male,M,43.25,1177073,44.1,8,519,1999-08-01
,1999,1999.0,30-34 years,30-34,Female,F,1.75,10131068,0.2,9,21,1999-09-01
,1999,1999.0,30-34 years,30-34,Male,M,2.5,10240023,0.3,9,30,1999-09-01
,1999,1999.0,35-39 years,35-39,Female,F,4.75,11335710,0.5,9,57,1999-09-01
,1999,1999.0,35-39 years,35-39,Male,M,8.416666666666666,11275914,0.9,9,101,1999-09-01
,1999,1999.0,40-44 years,40-44,Female,F,11.083333333333334,11057798,1.2,9,133,1999-09-01
,1999,1999.0,40-44 years,40-44,Male,M,17.416666666666668,10866874,1.9,9,209,1999-09-01
,1999,1999.0,45-49 years,45-49,Female,F,24.75,9864954,3.0,9,297,1999-09-01
,1999,1999.0,45-49 years,45-49,Male,M,28.75,9548921,3.6,9,345,1999-09-01
,1999,1999.0,50-54 years,50-54,Female,F,35.416666666666664,8540542,5.0,9,425,1999-09-01
,1999,1999.0,50-54 years,50-54,Male,M,43.833333333333336,8178348,6.4,9,526,1999-09-01
,1999,1999.0,55-59 years,55-59,Female,F,47.166666666666664,6680872,8.5,9,566,1999-09-01
,1999,1999.0,55-59 years,55-59,Male,M,59.583333333333336,6241758,11.5,9,715,1999-09-01
,1999,1999.0,60-64 years ,60-64,Female,F,57.916666666666664,5538848,12.5,9,695,1999-09-01
,1999,1999.0,60-64 years ,60-64,Male,M,74.58333333333333,5012696,17.9,9,895,1999-09-01
,1999,1999.0,65-69 years,65-69,Female,F,77.25,5073442,18.3,9,927,1999-09-01
,1999,1999.0,65-69 years,65-69,Male,M,92.0,4342941,25.4,9,1104,1999-09-01
,1999,1999.0,70-74 years,70-74,Female,F,94.16666666666667,4918966,23.0,9,1130,1999-09-01
,1999,1999.0,70-74 years,70-74,Male,M,109.58333333333333,3844898,34.2,9,1315,1999-09-01
,1999,1999.0,75-79 years,75-79,Female,F,99.25,4276338,27.9,9,1191,1999-09-01
,1999,1999.0,75-79 years,75-79,Male,M,101.0,2974973,40.7,9,1212,1999-09-01
,1999,1999.0,80-84 years,80-84,Female,F,79.66666666666667,3039863,31.4,9,956,1999-09-01
,1999,1999.0,80-84 years,80-84,Male,M,71.0,1780402,47.9,9,852,1999-09-01
,1999,1999.0,85+ years,85+,Female,F,64.75,2918829,26.6,9,777,1999-09-01
,1999,1999.0,85+ years,85+,Male,M,43.25,1177073,44.1,9,519,1999-09-01
,1999,1999.0,30-34 years,30-34,Female,F,1.75,10131068,0.2,10,21,1999-10-01
,1999,1999.0,30-34 years,30-34,Male,M,2.5,10240023,0.3,10,30,1999-10-01
,1999,1999.0,35-39 years,35-39,Female,F,4.75,11335710,0.5,10,57,1999-10-01
,1999,1999.0,35-39 years,35-39,Male,M,8.416666666666666,11275914,0.9,10,101,1999-10-01
,1999,1999.0,40-44 years,40-44,Female,F,11.083333333333334,11057798,1.2,10,133,1999-10-01
,1999,1999.0,40-44 years,40-44,Male,M,17.416666666666668,10866874,1.9,10,209,1999-10-01
,1999,1999.0,45-49 years,45-49,Female,F,24.75,9864954,3.0,10,297,1999-10-01
,1999,1999.0,45-49 years,45-49,Male,M,28.75,9548921,3.6,10,345,1999-10-01
,1999,1999.0,50-54 years,50-54,Female,F,35.416666666666664,8540542,5.0,10,425,1999-10-01
,1999,1999.0,50-54 years,50-54,Male,M,43.833333333333336,8178348,6.4,10,526,1999-10-01
,1999,1999.0,55-59 years,55-59,Female,F,47.166666666666664,6680872,8.5,10,566,1999-10-01
,1999,1999.0,55-59 years,55-59,Male,M,59.583333333333336,6241758,11.5,10,715,1999-10-01
,1999,1999.0,60-64 years ,60-64,Female,F,57.916666666666664,5538848,12.5,10,695,1999-10-01
,1999,1999.0,60-64 years ,60-64,Male,M,74.58333333333333,5012696,17.9,10,895,1999-10-01
,1999,1999.0,65-69 years,65-69,Female,F,77.25,5073442,18.3,10,927,1999-10-01
,1999,1999.0,65-69 years,65-69,Male,M,92.0,4342941,25.4,10,1104,1999-10-01
,1999,1999.0,70-74 years,70-74,Female,F,94.16666666666667,4918966,23.0,10,1130,1999-10-01
,1999,1999.0,70-74 years,70-74,Male,M,109.58333333333333,3844898,34.2,10,1315,1999-10-01
,1999,1999.0,75-79 years,75-79,Female,F,99.25,4276338,27.9,10,1191,1999-10-01
,1999,1999.0,75-79 years,75-79,Male,M,101.0,2974973,40.7,10,1212,1999-10-01
,1999,1999.0,80-84 years,80-84,Female,F,79.66666666666667,3039863,31.4,10,956,1999-10-01
,1999,1999.0,80-84 years,80-84,Male,M,71.0,1780402,47.9,10,852,1999-10-01
,1999,1999.0,85+ years,85+,Female,F,64.75,2918829,26.6,10,777,1999-10-01
,1999,1999.0,85+ years,85+,Male,M,43.25,1177073,44.1,10,519,1999-10-01
,1999,1999.0,30-34 years,30-34,Female,F,1.75,10131068,0.2,11,21,1999-11-01
,1999,1999.0,30-34 years,30-34,Male,M,2.5,10240023,0.3,11,30,1999-11-01
,1999,1999.0,35-39 years,35-39,Female,F,4.75,11335710,0.5,11,57,1999-11-01
,1999,1999.0,35-39 years,35-39,Male,M,8.416666666666666,11275914,0.9,11,101,1999-11-01
,1999,1999.0,40-44 years,40-44,Female,F,11.083333333333334,11057798,1.2,11,133,1999-11-01
,1999,1999.0,40-44 years,40-44,Male,M,17.416666666666668,10866874,1.9,11,209,1999-11-01
,1999,1999.0,45-49 years,45-49,Female,F,24.75,9864954,3.0,11,297,1999-11-01
,1999,1999.0,45-49 years,45-49,Male,M,28.75,9548921,3.6,11,345,1999-11-01
,1999,1999.0,50-54 years,50-54,Female,F,35.416666666666664,8540542,5.0,11,425,1999-11-01
,1999,1999.0,50-54 years,50-54,Male,M,43.833333333333336,8178348,6.4,11,526,1999-11-01
,1999,1999.0,55-59 years,55-59,Female,F,47.166666666666664,6680872,8.5,11,566,1999-11-01
,1999,1999.0,55-59 years,55-59,Male,M,59.583333333333336,6241758,11.5,11,715,1999-11-01
,1999,1999.0,60-64 years ,60-64,Female,F,57.916666666666664,5538848,12.5,11,695,1999-11-01
,1999,1999.0,60-64 years ,60-64,Male,M,74.58333333333333,5012696,17.9,11,895,1999-11-01
,1999,1999.0,65-69 years,65-69,Female,F,77.25,5073442,18.3,11,927,1999-11-01
,1999,1999.0,65-69 years,65-69,Male,M,92.0,4342941,25.4,11,1104,1999-11-01
,1999,1999.0,70-74 years,70-74,Female,F,94.16666666666667,4918966,23.0,11,1130,1999-11-01
,1999,1999.0,70-74 years,70-74,Male,M,109.58333333333333,3844898,34.2,11,1315,1999-11-01
,1999,1999.0,75-79 years,75-79,Female,F,99.25,4276338,27.9,11,1191,1999-11-01
,1999,1999.0,75-79 years,75-79,Male,M,101.0,2974973,40.7,11,1212,1999-11-01
,1999,1999.0,80-84 years,80-84,Female,F,79.66666666666667,3039863,31.4,11,956,1999-11-01
,1999,1999.0,80-84 years,80-84,Male,M,71.0,1780402,47.9,11,852,1999-11-01
,1999,1999.0,85+ years,85+,Female,F,64.75,2918829,26.6,11,777,1999-11-01
,1999,1999.0,85+ years,85+,Male,M,43.25,1177073,44.1,11,519,1999-11-01
,1999,1999.0,30-34 years,30-34,Female,F,1.75,10131068,0.2,12,21,1999-12-01
,1999,1999.0,30-34 years,30-34,Male,M,2.5,10240023,0.3,12,30,1999-12-01
,1999,1999.0,35-39 years,35-39,Female,F,4.75,11335710,0.5,12,57,1999-12-01
,1999,1999.0,35-39 years,35-39,Male,M,8.416666666666666,11275914,0.9,12,101,1999-12-01
,1999,1999.0,40-44 years,40-44,Female,F,11.083333333333334,11057798,1.2,12,133,1999-12-01
,1999,1999.0,40-44 years,40-44,Male,M,17.416666666666668,10866874,1.9,12,209,1999-12-01
,1999,1999.0,45-49 years,45-49,Female,F,24.75,9864954,3.0,12,297,1999-12-01
,1999,1999.0,45-49 years,45-49,Male,M,28.75,9548921,3.6,12,345,1999-12-01
,1999,1999.0,50-54 years,50-54,Female,F,35.416666666666664,8540542,5.0,12,425,1999-12-01
,1999,1999.0,50-54 years,50-54,Male,M,43.833333333333336,8178348,6.4,12,526,1999-12-01
,1999,1999.0,55-59 years,55-59,Female,F,47.166666666666664,6680872,8.5,12,566,1999-12-01
,1999,1999.0,55-59 years,55-59,Male,M,59.583333333333336,6241758,11.5,12,715,1999-12-01
,1999,1999.0,60-64 years ,60-64,Female,F,57.916666666666664,5538848,12.5,12,695,1999-12-01
,1999,1999.0,60-64 years ,60-64,Male,M,74.58333333333333,5012696,17.9,12,895,1999-12-01
,1999,1999.0,65-69 years,65-69,Female,F,77.25,5073442,18.3,12,927,1999-12-01
,1999,1999.0,65-69 years,65-69,Male,M,92.0,4342941,25.4,12,1104,1999-12-01
,1999,1999.0,70-74 years,70-74,Female,F,94.16666666666667,4918966,23.0,12,1130,1999-12-01
,1999,1999.0,70-74 years,70-74,Male,M,109.58333333333333,3844898,34.2,12,1315,1999-12-01
,1999,1999.0,75-79 years,75-79,Female,F,99.25,4276338,27.9,12,1191,1999-12-01
